NOM,GENRE,TELEPHONE,LOCALISATION_ZONE,EST_USER_APP
Emma Huang,Female,+27943896243,Sodankylä,0
Takumi Kobayashi,Female,+71648714160,Inari,0
Zhang Fahmi,Male,+46836930688,Inari,0
Hiroshi Fahmi,Female,+80506517451,Rovaniemi,0
Lucia Takahashi,Female,+35390142996,Kittilä,1
Elijah Al-Farsi,Male,+34940931134,Kemijärvi,1
Luis Sato,Female,+75952301572,Sodankylä,0
Yara Perez,Male,+44146924062,Rovaniemi,0
Hiroshi Fahmi,Female,+98835316235,Sodankylä,1
Zhang Yamamoto,Female,+48983260477,Pajala,1
Liu Khalil,Female,+43952846543,Kittilä,1
Layla Sato,Female,+61255041378,Pajala,0
Isabella Sharif,Female,+94172339490,Kemijärvi,0
Camila Lin,Male,+6845537620,Muonio,1
Wei Sabri,Female,+88398467514,Kittilä,0
Elijah Hernandez,Female,+64110748761,Inari,1
Akira Lopez,Male,+28827521388,Enontekiö,0
Omar Al-Farsi,Female,+43572919550,Kittilä,0
Isabella Al-Farsi,Female,+45434335695,Sodankylä,0
Ren Nasr,Female,+99981178639,Kemijärvi,0
Mia Zhou,Male,+81275643616,Rovaniemi,0
Mateo Xu,Male,+68996227680,Utsjoki,0
Liu Flores,Female,+92439787932,Sodankylä,1
Hua Sharif,Female,+93576499411,Enontekiö,1
Layla Sanchez,Female,+21360614254,Muonio,0
Hua Perez,Female,+14807058990,Pajala,0
Yuki Ito,Male,+33454581269,Enontekiö,0
Hassan Nakamura,Female,+52416282927,Utsjoki,0
Aisha Al-Farsi,Female,+70360010918,Enontekiö,1
Elijah Sabri,Female,+66156945619,Rovaniemi,0
Maria Smith,Female,+75809298735,Pajala,0
Haruto Sato,Female,+72202559453,Utsjoki,1
Min Sun,Male,+82232248895,Utsjoki,1
Jose Flores,Male,+79871924630,Pajala,0
Akira Rivera,Female,+56426335480,Enontekiö,0
Min Sanchez,Female,+10322306895,Pajala,1
Min Brown,Male,+4228544423,Pajala,1
Diego Khalil,Female,+91568250062,Kittilä,0
Mateo Watanabe,Male,+52950659263,Kittilä,1
Hassan Williams,Male,+48567750824,Muonio,0
Ava Gonzalez,Female,+79863308192,Kittilä,0
Omar Kato,Male,+92539991397,Muonio,0
Zhang Nakamura,Male,+68600782157,Utsjoki,0
Maria Torres,Female,+19920913349,Enontekiö,0
Mia Nasr,Male,+22799036726,Utsjoki,0
Hua Tanaka,Male,+96165531592,Kittilä,0
Emma Watanabe,Female,+66522494553,Sodankylä,1
Valentina Gonzalez,Female,+88172033736,Muonio,1
Yara Sanchez,Female,+47408674848,Inari,1
Maria Flores,Male,+47520877643,Pajala,0
Santiago Smith,Female,+77146700490,Pajala,0
Sara Rodriguez,Female,+62556416133,Kittilä,0
Carlos Lin,Male,+78359622062,Kolari,0
Maria Nasr,Male,+32323017512,Utsjoki,0
Jose Davis,Female,+94922262320,Kolari,0
Noah Sato,Male,+44606609907,Kemijärvi,1
Ren Sato,Female,+77630114202,Muonio,0
Oliver Sato,Male,+63585270373,Rovaniemi,0
Hiroshi Huang,Male,+6744034639,Kolari,1
Noah Suzuki,Male,+40893346920,Kemijärvi,0
Liam Sharif,Male,+15961093227,Muonio,1
Wang Zhao,Male,+95909421108,Kittilä,0
Jing El-Amin,Female,+69657702602,Rovaniemi,1
Sora Nakamura,Male,+32401820908,Rovaniemi,0
Hua Nakamura,Female,+74629426839,Kittilä,0
Wei Wu,Male,+36968423316,Kemijärvi,0
Emma Martinez,Male,+65920277993,Pajala,0
Santiago Davis,Female,+74348681649,Pajala,1
Zayn Sanchez,Male,+80499685027,Pajala,0
Zhang Jones,Female,+91916078982,Enontekiö,0
Akira Sanchez,Female,+46746382465,Sodankylä,0
Ren Watanabe,Male,+11659629220,Rovaniemi,1
Oliver Smith,Female,+74822640361,Kemijärvi,1
Camila Mendoza,Male,+21496947877,Sodankylä,1
Carlos Flores,Male,+36945064932,Pajala,0
Emma Watanabe,Female,+21807456436,Kittilä,0
Rami Takahashi,Female,+27210167220,Muonio,1
Sophia Yamamoto,Male,+71790640727,Kittilä,1
Li Sanchez,Female,+72465945828,Enontekiö,0
Diego Rahman,Female,+18445601372,Enontekiö,0
Noah Nasr,Female,+81174827518,Muonio,0
Takumi Tanaka,Male,+58836226934,Rovaniemi,0
Amir Haddad,Female,+52960208842,Kittilä,0
Li Williams,Female,+64928815228,Inari,0
Charlotte Lin,Male,+69377589814,Kittilä,1
Zhang Davis,Female,+25662664524,Kemijärvi,0
Yuki Rivera,Female,+4945793783,Enontekiö,1
Noah Kobayashi,Female,+74645522899,Utsjoki,0
Hassan Jones,Male,+33983200348,Muonio,0
Carlos Al-Farsi,Male,+62154835565,Kemijärvi,1
Maria Johnson,Female,+20246792746,Pajala,0
Sophia Nakamura,Male,+24934257371,Kittilä,0
Mateo Hernandez,Male,+38966901628,Kittilä,0
Li Gao,Male,+29130377186,Pajala,0
Emma Sharif,Female,+94271780037,Muonio,0
Charlotte Lopez,Male,+54699427142,Enontekiö,1
Noah Ramirez,Female,+99622665260,Rovaniemi,0
Takumi El-Amin,Female,+24129629997,Kittilä,0
Aisha Sabri,Male,+76958692803,Enontekiö,1
Rami Chen,Female,+68547425802,Kittilä,0
Min Miller,Female,+75106322131,Kolari,1
Wang Sanchez,Female,+77157731612,Rovaniemi,0
Chen Sabri,Female,+1137649475,Pajala,1
Tao Khalil,Female,+81780828833,Pajala,0
Ren Sabri,Male,+90884244474,Inari,0
Tao Johnson,Female,+98946546625,Pajala,0
Haruto Kobayashi,Female,+4693661586,Kolari,0
Isabella Jones,Female,+85189720971,Enontekiö,0
Akira Jones,Female,+3597837279,Sodankylä,0
Mei Rahman,Male,+69419710714,Kittilä,0
Ren Torres,Male,+27526633306,Pajala,0
Charlotte Torres,Male,+44472809634,Sodankylä,1
Isabella Yamamoto,Male,+67541321815,Inari,1
Mia Sharif,Female,+65151096112,Kemijärvi,0
Yuki Martinez,Male,+92884383261,Rovaniemi,1
Hiroshi Sanchez,Female,+76469872153,Muonio,0
Wei Wu,Female,+3466994940,Enontekiö,0
Layla Huang,Female,+16518078272,Kemijärvi,0
Omar Tanaka,Female,+42200456895,Muonio,1
Santiago Xu,Female,+6134421070,Muonio,0
Min Zhao,Female,+33463962298,Enontekiö,0
Carlos Torres,Male,+87329170380,Inari,0
Wang Khalil,Female,+77203402947,Kittilä,0
Noah Miller,Male,+33446755743,Enontekiö,0
Maria Lin,Female,+52502784317,Rovaniemi,0
Aisha Hernandez,Female,+73814336169,Inari,1
Hiroshi Williams,Female,+62357617228,Inari,0
Jose Mendoza,Male,+77716839335,Sodankylä,1
Wei Lin,Female,+6855611708,Pajala,0
Jing Flores,Female,+4122888829,Utsjoki,1
Sophia Chen,Female,+22711652990,Sodankylä,1
Rami Garcia,Female,+15276600989,Pajala,0
Wei Smith,Female,+5104050312,Kolari,0
Jose He,Male,+77244004806,Sodankylä,1
Jing Torres,Female,+16261127675,Kittilä,0
Camila Sanchez,Female,+27848657243,Kolari,0
Mia Martinez,Male,+4185149222,Sodankylä,0
Isabella Wu,Male,+78214117741,Rovaniemi,0
Mei Mendoza,Male,+57924455359,Sodankylä,0
Noor Lopez,Female,+12252891299,Inari,0
Nao Mendoza,Male,+80194690801,Enontekiö,0
Camila Suzuki,Male,+62329260061,Kittilä,0
Valentina Johnson,Male,+88899994035,Inari,0
Emma Zhao,Female,+61607121336,Inari,0
Akira Ramirez,Male,+97120947881,Kemijärvi,0
Lucia Flores,Male,+41729509936,Kemijärvi,1
Carlos Hernandez,Female,+43930716236,Utsjoki,0
Maria Sanchez,Female,+91739203068,Kemijärvi,0
Ava Lin,Male,+20127547063,Utsjoki,0
Aiko Flores,Male,+36434114721,Kolari,0
Omar Rahman,Female,+67717185075,Kolari,1
Wang El-Amin,Male,+45272506025,Kittilä,0
Charlotte Ito,Male,+22916131363,Pajala,0
Santiago Khalil,Male,+84222927848,Inari,0
Luis Hernandez,Male,+84544758909,Muonio,0
Aiko Takahashi,Female,+41744331875,Inari,0
Isabella Smith,Male,+1359940541,Enontekiö,0
Tao Williams,Female,+7560933865,Utsjoki,0
Jing Williams,Male,+91731347135,Pajala,0
Camila He,Male,+60486942646,Kittilä,0
Aisha Sun,Female,+71316473698,Utsjoki,0
Min Garcia,Female,+4953639290,Utsjoki,1
Layla Rivera,Female,+24326958190,Kemijärvi,0
Yara Miller,Female,+29972580614,Enontekiö,0
Min Chen,Female,+30996425474,Inari,0
Diego Sun,Female,+74592950308,Sodankylä,0
Jing He,Male,+73712522558,Kolari,0
Emma Ito,Male,+15443315154,Kolari,0
Mei Huang,Female,+79684644139,Kittilä,0
Aisha Perez,Male,+14778032345,Rovaniemi,1
Zhang Kobayashi,Female,+61750469955,Utsjoki,0
Yuki Khalil,Female,+68585495607,Kemijärvi,0
Oliver Mendoza,Male,+98526947413,Rovaniemi,0
Tao Lin,Female,+20242613743,Kemijärvi,0
Lucia Ramirez,Male,+24906546448,Kemijärvi,0
Layla Sabri,Female,+56528265851,Sodankylä,0
Oliver Johnson,Male,+34983209322,Pajala,0
Li Hernandez,Male,+31857738740,Kemijärvi,0
Mateo Al-Farsi,Female,+4827356379,Enontekiö,1
Sara Williams,Female,+20315885574,Sodankylä,0
Akira Lin,Female,+48440046802,Kemijärvi,0
Diego Lin,Female,+22179864101,Enontekiö,0
Rami Zhao,Male,+25942171167,Pajala,1
Noah Davis,Female,+56866573509,Pajala,0
Noor Sato,Female,+98707904197,Sodankylä,0
Liam Nasr,Female,+86524099643,Inari,1
Layla Suzuki,Male,+27918855110,Muonio,0
Haruto Sun,Female,+91444674657,Enontekiö,1
Emma Ito,Male,+31759457527,Muonio,0
Mei Sanchez,Male,+2869756754,Utsjoki,0
Hua Yamamoto,Female,+33138139385,Rovaniemi,0
Omar Garcia,Male,+18299340322,Rovaniemi,0
Valentina Rahman,Male,+98159833188,Muonio,0
Diego Tanaka,Female,+66101424180,Utsjoki,0
Haruto Davis,Female,+21395220306,Inari,0
Lucia Sanchez,Male,+95141421258,Muonio,1
Akira Torres,Female,+94984669404,Kolari,1
Charlotte Al-Farsi,Male,+49220881878,Rovaniemi,0
Luis Brown,Female,+17998356940,Muonio,0
Tao Johnson,Male,+99157079407,Kemijärvi,0
Aisha Tanaka,Male,+99307471111,Kolari,0
Lucia Jones,Male,+13783771142,Enontekiö,0
Ava El-Amin,Female,+46182165631,Muonio,1
Jose Nasr,Male,+36394982305,Utsjoki,0
Yara Perez,Male,+60953543265,Sodankylä,0
Min Garcia,Male,+58691763069,Inari,0
Amir Nasr,Male,+72995432982,Utsjoki,0
Isabella Yamamoto,Male,+9696081867,Pajala,0
Noor Khalil,Female,+91641803750,Utsjoki,0
Liu Gao,Male,+63797313530,Inari,1
Zhang Kobayashi,Male,+21855763826,Pajala,0
Camila Sanchez,Male,+15222541881,Inari,0
Santiago Zhou,Male,+76235972192,Sodankylä,0
Ren Torres,Female,+49225227974,Enontekiö,0
Emma Zhou,Female,+78681968389,Muonio,0
Ava Hernandez,Female,+73426487550,Pajala,0
Layla Zhou,Female,+31603404194,Rovaniemi,0
Charlotte Ito,Female,+35712926767,Inari,0
Yuki Xu,Male,+45933967953,Muonio,0
Wei Hernandez,Female,+96448651717,Muonio,1
Nao Johnson,Female,+40770648952,Kemijärvi,0
Noah Sun,Male,+12293566806,Sodankylä,0
Jing Torres,Female,+40486002353,Muonio,0
Zayn Johnson,Female,+88730067960,Muonio,1
Hassan Flores,Female,+6984256276,Kemijärvi,0
Camila Sanchez,Male,+93867937684,Kolari,1
Hua Ito,Male,+58439878909,Muonio,0
Mei Kobayashi,Female,+89280444050,Sodankylä,0
Sophia Aziz,Male,+38172633266,Kolari,0
Valentina Chen,Female,+71565384932,Rovaniemi,0
Hua Nakamura,Male,+8837555445,Kittilä,0
Maria Torres,Male,+59840356199,Rovaniemi,0
Mateo Ramirez,Female,+69756930609,Enontekiö,0
Charlotte Jones,Male,+40599127350,Pajala,1
Mei Smith,Male,+67585249537,Rovaniemi,0
Emma Garcia,Female,+34190466370,Enontekiö,0
Yuki Al-Farsi,Male,+45761848960,Sodankylä,0
Nao Haddad,Female,+84254561072,Utsjoki,1
Ava Sanchez,Male,+63164139714,Kolari,0
Noor Smith,Male,+63770582471,Muonio,1
Amir Garcia,Male,+17647988700,Utsjoki,0
Tao Torres,Female,+30552825265,Kemijärvi,0
Layla Williams,Female,+10871603673,Kemijärvi,0
Emma Zhou,Female,+67951244716,Rovaniemi,0
Camila Lopez,Female,+77700650713,Rovaniemi,0
Oliver Sanchez,Male,+83815227197,Muonio,0
Wang Chen,Female,+34451047489,Kemijärvi,0
Lucia Kato,Male,+55323138576,Utsjoki,1
Hiroshi Rahman,Male,+35606338663,Rovaniemi,0
Layla Fahmi,Female,+91719731259,Kemijärvi,0
Jose Smith,Female,+28958994482,Sodankylä,0
Haruto Sabri,Female,+39513310560,Kemijärvi,0
Jose Hernandez,Male,+28538829566,Sodankylä,0
Wei Jones,Female,+42439844314,Kittilä,0
Min Fahmi,Female,+56306987394,Kemijärvi,0
Emma Johnson,Female,+37524122904,Sodankylä,0
Oliver Torres,Female,+20439309495,Kemijärvi,0
Mateo He,Male,+43739332477,Kittilä,0
Min Yamamoto,Male,+60461758967,Utsjoki,0
Hassan Gonzalez,Male,+40385347726,Muonio,0
Santiago Sabri,Female,+80115342028,Muonio,1
Zhang Davis,Male,+46630984942,Kittilä,1
Nao Khalil,Male,+38857632660,Pajala,0
Noor Huang,Male,+29729813232,Enontekiö,0
Ren Tanaka,Female,+74763307637,Muonio,0
Isabella Sato,Male,+92989548521,Kittilä,0
Santiago Perez,Male,+11932682558,Rovaniemi,0
Layla Rivera,Male,+52626329457,Kittilä,0
Zayn Lopez,Male,+59331419351,Utsjoki,1
Jose Sun,Female,+2849129516,Pajala,1
Aiko Sharif,Male,+62862440165,Pajala,0
Rami Sun,Female,+74574209555,Inari,0
Valentina Torres,Male,+44824524200,Kittilä,0
Layla Johnson,Male,+39881728762,Sodankylä,0
Sophia Watanabe,Male,+83596094534,Kittilä,1
Tao Davis,Male,+36616859307,Pajala,0
Akira Haddad,Female,+47204906242,Kolari,0
Hua Smith,Female,+66613844000,Pajala,0
Santiago Lopez,Female,+12495132227,Enontekiö,0
Omar Davis,Female,+52429364088,Pajala,0
Santiago Rivera,Female,+57905658918,Sodankylä,0
Diego Gonzalez,Male,+44489378457,Muonio,1
Li Takahashi,Male,+91249893197,Muonio,1
Zayn Sharif,Female,+9677058980,Rovaniemi,0
Noah Smith,Female,+39796681283,Kittilä,0
Li Williams,Female,+90292294251,Utsjoki,0
Aisha Torres,Female,+51548866893,Utsjoki,0
Jose Lin,Female,+29798172278,Utsjoki,0
Layla Rivera,Male,+77497402033,Utsjoki,0
Liu Gonzalez,Female,+13153354156,Kolari,0
Charlotte Tanaka,Female,+89132810569,Sodankylä,1
Aisha Johnson,Female,+94578120219,Inari,0
Elijah Hernandez,Female,+12936724412,Rovaniemi,0
Lucia Zhao,Female,+96563306429,Muonio,0
Hiroshi Lopez,Female,+14101147983,Pajala,0
Carlos Martinez,Male,+42397009790,Kemijärvi,0
Noor Huang,Male,+12136140710,Kolari,0
Nao Zhou,Female,+75678027057,Kemijärvi,0
Liam Watanabe,Female,+16101594357,Sodankylä,0
Isabella Ramirez,Female,+14740803867,Kolari,1
Maria Sabri,Male,+68390888458,Sodankylä,0
Aiko Martinez,Female,+21154593262,Kemijärvi,0
Haruto Huang,Male,+95103060215,Utsjoki,0
Ren Jones,Male,+55511281319,Kolari,1
Noor Nasr,Female,+99470399619,Inari,0
Emma Sharif,Female,+13642773028,Pajala,0
Zayn Sharif,Female,+45428495827,Utsjoki,0
Aiko Martinez,Female,+79149777858,Rovaniemi,1
Omar Haddad,Male,+63888027866,Muonio,0
Zayn Suzuki,Female,+34883858457,Utsjoki,1
Ren Sabri,Male,+68811816515,Enontekiö,0
Rami Davis,Female,+7181590222,Enontekiö,1
Luis Xu,Female,+51881898699,Kittilä,0
Mateo Lopez,Male,+70556917041,Enontekiö,1
Zhang Sato,Female,+65766695139,Rovaniemi,0
Chen Jones,Female,+39618397505,Kittilä,0
Santiago Lopez,Male,+59656256270,Muonio,0
Charlotte Kobayashi,Female,+7289405060,Enontekiö,1
Maria Garcia,Female,+33169299304,Rovaniemi,0
Tao Yamamoto,Female,+76972341448,Pajala,0
Camila Xu,Female,+5152600087,Inari,1
Hua Lopez,Female,+1938349911,Sodankylä,0
Diego Hernandez,Female,+1780627924,Rovaniemi,0
Yuki Takahashi,Male,+84445385239,Enontekiö,1
Mei Fahmi,Female,+35159598293,Kolari,0
Diego Al-Farsi,Male,+64634007561,Rovaniemi,0
Luis Yamamoto,Female,+73507298936,Inari,0
Liu Zhou,Male,+61124675672,Utsjoki,0
Luis Lin,Male,+95378746997,Kittilä,0
Ren Johnson,Female,+28524340578,Kittilä,0
Diego Suzuki,Male,+83147477377,Kittilä,0
Wei Johnson,Female,+3193214691,Kemijärvi,1
Emma Zhou,Female,+17398150472,Kolari,0
Omar Mendoza,Male,+88535097746,Muonio,1
Aisha Martinez,Female,+58955868759,Utsjoki,0
Nao Lin,Male,+95405960907,Sodankylä,0
Oliver Miller,Male,+25155225378,Inari,0
Emma Rodriguez,Male,+31863786990,Enontekiö,0
Amir Kobayashi,Female,+93787321371,Kittilä,1
Takumi Suzuki,Female,+22975570347,Kemijärvi,1
Zayn Huang,Female,+44365880619,Rovaniemi,0
Takumi El-Amin,Female,+9324345044,Kemijärvi,0
Ava Kobayashi,Female,+87746888177,Muonio,0
Maria He,Male,+39264749783,Muonio,0
Camila Haddad,Female,+33164917056,Kemijärvi,0
Omar Gao,Female,+1837524548,Muonio,0
Diego Sharif,Female,+11338739212,Rovaniemi,0
Hiroshi Nasr,Male,+89462687497,Enontekiö,1
Akira Perez,Male,+36724603117,Enontekiö,0
Amir Zhou,Male,+13921071710,Inari,0
Mei Huang,Female,+45557701038,Pajala,1
Wang Nakamura,Female,+86621538174,Inari,0
Emma Ito,Male,+35181848788,Enontekiö,1
Sara El-Amin,Male,+82594622633,Rovaniemi,0
Hua Hernandez,Male,+15130954977,Sodankylä,1
Luis Williams,Male,+95568699479,Enontekiö,0
Noor Fahmi,Female,+16337600491,Utsjoki,0
Carlos Sabri,Female,+69340801324,Enontekiö,0
Sora Chen,Female,+50500770441,Enontekiö,0
Hassan Zhou,Female,+60429738348,Kittilä,0
Lucia Sanchez,Female,+82143184515,Rovaniemi,1
Luis Sabri,Male,+17567020814,Utsjoki,0
Aisha Chen,Male,+16886958836,Sodankylä,0
Omar Zhao,Male,+22256446268,Sodankylä,0
Sora He,Female,+39577956340,Inari,0
Noor Rahman,Male,+90748411310,Kolari,0
Yara Zhao,Female,+11164742316,Muonio,0
Wang Tanaka,Female,+92880791408,Inari,1
Ava Miller,Female,+93613398903,Utsjoki,0
Omar Rahman,Female,+48117345112,Kolari,0
Mia Wu,Female,+88200159911,Utsjoki,0
Amir Sun,Female,+2309626188,Pajala,0
Luis Williams,Female,+13513791417,Sodankylä,0
Nao Xu,Female,+62940997410,Pajala,0
Nao Wu,Female,+60337256424,Utsjoki,0
Sora Zhou,Male,+83488140008,Utsjoki,0
Yuki Al-Farsi,Female,+59238234458,Kolari,0
Mei Huang,Female,+14897203492,Muonio,1
Mei Nasr,Male,+18700860204,Kolari,1
Jing Chen,Female,+58781385284,Pajala,0
Tao Sabri,Male,+22721685959,Kemijärvi,0
Charlotte Wu,Female,+56865816216,Kemijärvi,0
Haruto Fahmi,Female,+7321521488,Kittilä,0
Diego Tanaka,Female,+23855579598,Kolari,0
Isabella Sun,Female,+27132267957,Rovaniemi,0
Liu Huang,Male,+67239885127,Rovaniemi,1
Emma Brown,Female,+21411283447,Enontekiö,0
Noor Brown,Male,+66533001196,Kemijärvi,0
Jing Lin,Male,+69723048140,Sodankylä,0
Akira Zhou,Male,+37447105521,Utsjoki,1
Zayn Zhao,Male,+12590967566,Kittilä,1
Ava Huang,Female,+40263372082,Sodankylä,0
Diego Watanabe,Male,+58482718977,Inari,0
Mia Xu,Female,+49622966695,Kemijärvi,1
Mateo Kobayashi,Female,+64364491577,Rovaniemi,0
Oliver Gao,Male,+85685248464,Sodankylä,0
Ava Chen,Female,+53827321224,Sodankylä,0
Mateo Kobayashi,Female,+97772099573,Pajala,0
Aiko Aziz,Female,+7451263118,Sodankylä,1
Valentina Flores,Female,+99506965758,Muonio,1
Lucia Sanchez,Female,+23728597114,Pajala,1
Mei El-Amin,Female,+22748622256,Enontekiö,0
Sophia Sabri,Male,+26382858377,Kittilä,0
Liam Khalil,Female,+8569722751,Kittilä,0
Valentina Jones,Male,+10882023577,Sodankylä,0
Sara Aziz,Male,+12666685689,Inari,0
Haruto Sato,Female,+10615645034,Pajala,0
Layla Rodriguez,Male,+33126110576,Kittilä,1
Camila Miller,Female,+27809228930,Rovaniemi,1
Nao Lopez,Female,+88602901637,Inari,1
Sophia Rodriguez,Male,+75404624672,Kolari,0
Haruto Suzuki,Male,+97687407620,Rovaniemi,1
Takumi Perez,Male,+64973516957,Inari,1
Maria Flores,Male,+3801662660,Muonio,0
Jose Watanabe,Female,+40608571858,Inari,0
Zayn Sabri,Male,+21388916253,Rovaniemi,0
Charlotte Khalil,Male,+67438048670,Enontekiö,0
Oliver Kato,Female,+32855960643,Kemijärvi,0
Maria Jones,Male,+44832105960,Kemijärvi,0
Charlotte Zhao,Female,+86367511368,Pajala,0
Ava Zhou,Male,+39506424827,Sodankylä,0
Elijah Sun,Male,+97942783424,Kemijärvi,0
Valentina Gao,Male,+34590926518,Enontekiö,0
Hassan Kobayashi,Female,+12103402514,Pajala,0
Diego Mendoza,Female,+85766878007,Utsjoki,0
Carlos Chen,Female,+51131223145,Pajala,0
Jing Khalil,Male,+70902607318,Enontekiö,0
Tao Xu,Female,+24933688834,Utsjoki,0
Zayn Al-Farsi,Male,+43946247973,Inari,1
Omar Sato,Male,+2568797137,Kemijärvi,0
Isabella Sabri,Male,+2174234879,Kittilä,0
